"Order","Family","Genus","Species","Mean_Temp","Mean_Temp_SD","Latitude","Longitude","Captive","Humidity","Start_Date","End_Date","Proportion_Male","Proportion_Female"
"Testudines","Cheloniidae","Caretta","Caretta_caretta",30.5,0.5,-24.793935,152.4418505,0,NA,1979-12-01,1979-12-01,0.333333333,0.666666667
"Testudines","Cheloniidae","Caretta","Caretta_caretta",25,0.5,-24.793935,152.4418505,0,NA,1980-11-01,1980-11-01,1,0
"Testudines","Cheloniidae","Caretta","Caretta_caretta",26,0.5,-24.793935,152.4418505,0,NA,1980-11-01,1980-11-01,0.666666667,0.333333333
"Testudines","Cheloniidae","Caretta","Caretta_caretta",27.5,0.5,-24.793935,152.4418505,0,NA,1980-11-01,1980-11-01,0.3,0.7
"Testudines","Cheloniidae","Caretta","Caretta_caretta",29,0.5,-24.793935,152.4418505,0,NA,1980-11-01,1980-11-01,0.2,0.8
"Testudines","Cheloniidae","Caretta","Caretta_caretta",30.5,0.5,-24.793935,152.4418505,0,NA,1980-11-01,1980-11-01,0,1
"Testudines","Cheloniidae","Caretta","Caretta_caretta",32,0.5,-24.793935,152.4418505,0,NA,1980-11-01,1980-11-01,0,1
"Testudines","Cheloniidae","Caretta","Caretta_caretta",26,0.5,-24.793935,152.4418505,0,NA,1981-12-01,1981-12-01,1,0
"Testudines","Cheloniidae","Caretta","Caretta_caretta",27,0.5,-24.793935,152.4418505,0,NA,1981-12-01,1981-12-01,0.8,0.2
"Testudines","Cheloniidae","Caretta","Caretta_caretta",28,0.5,-24.793935,152.4418505,0,NA,1981-12-01,1981-12-01,0.444444444,0.555555556
"Testudines","Cheloniidae","Caretta","Caretta_caretta",29,0.5,-24.793935,152.4418505,0,NA,1981-12-01,1981-12-01,0.111111111,0.888888889
"Testudines","Cheloniidae","Caretta","Caretta_caretta",30,0.5,-24.793935,152.4418505,0,NA,1981-12-01,1981-12-01,0,1
"Testudines","Cheloniidae","Caretta","Caretta_caretta",31,0.5,-24.793935,152.4418505,0,NA,1981-12-01,1981-12-01,0,1
"Testudines","Cheloniidae","Caretta","Caretta_caretta",32,0.5,-24.793935,152.4418505,0,NA,1981-12-01,1981-12-01,0,1
"Testudines","Cheloniidae","Caretta","Caretta_caretta",25,0.5,-23.44241,151.915007,0,NA,1980-12-01,1980-12-01,1,0
"Testudines","Cheloniidae","Caretta","Caretta_caretta",26,0.5,-23.44241,151.915007,0,NA,1980-12-01,1980-12-01,1,0
"Testudines","Cheloniidae","Caretta","Caretta_caretta",27.5,0.5,-23.44241,151.915007,0,NA,1980-12-01,1980-12-01,0.8,0.2
"Testudines","Cheloniidae","Caretta","Caretta_caretta",29,0.5,-23.44241,151.915007,0,NA,1980-12-01,1980-12-01,0.5,0.5
"Testudines","Cheloniidae","Caretta","Caretta_caretta",30.5,0.5,-23.44241,151.915007,0,NA,1980-12-01,1980-12-01,0,1
"Testudines","Cheloniidae","Caretta","Caretta_caretta",32,0.5,-23.44241,151.915007,0,NA,1980-12-01,1980-12-01,0,1
"Testudines","Cheloniidae","Caretta","Caretta_caretta",27,0.5,-23.44241,151.915007,0,NA,1981-12-01,1981-12-01,0.857142857,0.142857143
"Testudines","Cheloniidae","Caretta","Caretta_caretta",28,0.5,-23.44241,151.915007,0,NA,1981-12-01,1981-12-01,1,0
"Testudines","Cheloniidae","Caretta","Caretta_caretta",29,0.5,-23.44241,151.915007,0,NA,1981-12-01,1981-12-01,0.6,0.4
"Testudines","Cheloniidae","Caretta","Caretta_caretta",30,0.5,-23.44241,151.915007,0,NA,1981-12-01,1981-12-01,0.333333333,0.666666667
"Testudines","Cheloniidae","Caretta","Caretta_caretta",31,0.5,-23.44241,151.915007,0,NA,1981-12-01,1981-12-01,0,1
"Testudines","Cheloniidae","Caretta","Caretta_caretta",26,0.5,-23.44241,151.915007,0,NA,1983-12-01,1983-12-01,0.875,0.125
"Testudines","Cheloniidae","Caretta","Caretta_caretta",30,0.5,-23.44241,151.915007,0,NA,1983-12-01,1983-12-01,0.2,0.8
"Testudines","Cheloniidae","Caretta","Caretta_caretta",31,0.5,-23.44241,151.915007,0,NA,1983-12-01,1983-12-01,0,1
"Testudines","Cheloniidae","Caretta","Caretta_caretta",27.2,NA,-26.9830215,32.8701345,0,NA,1985-11-01,1985-11-01,1,0
"Testudines","Cheloniidae","Caretta","Caretta_caretta",27.9,NA,-26.9830215,32.8701345,0,NA,1985-11-01,1985-11-01,1,0
"Testudines","Cheloniidae","Caretta","Caretta_caretta",28.8,NA,-26.9830215,32.8701345,0,NA,1985-11-01,1985-11-01,1,0
"Testudines","Cheloniidae","Caretta","Caretta_caretta",29.2,NA,-26.9830215,32.8701345,0,NA,1985-11-01,1985-11-01,1,0
"Testudines","Cheloniidae","Caretta","Caretta_caretta",29.7,NA,-26.9830215,32.8701345,0,NA,1985-11-01,1985-11-01,0.5,0.5
"Testudines","Cheloniidae","Caretta","Caretta_caretta",30.2,NA,-26.9830215,32.8701345,0,NA,1985-11-01,1985-11-01,0.1,0.9
"Testudines","Cheloniidae","Caretta","Caretta_caretta",30.7,NA,-26.9830215,32.8701345,0,NA,1985-11-01,1985-11-01,0,1
"Testudines","Cheloniidae","Caretta","Caretta_caretta",31.2,NA,-26.9830215,32.8701345,0,NA,1985-11-01,1985-11-01,0,1
"Testudines","Cheloniidae","Caretta","Caretta_caretta",32.2,NA,-26.9830215,32.8701345,0,NA,1985-11-01,1985-11-01,0,1
"Testudines","Cheloniidae","Caretta","Caretta_caretta",32.8,NA,-26.9830215,32.8701345,0,NA,1985-11-01,1985-11-01,0,1
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,-26.9830215,32.8701345,0,NA,1985-11-01,1985-11-01,0,1
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,-26.9830215,32.8701345,0,NA,1985-11-01,1985-11-01,0,1
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,-26.9830215,32.8701345,0,NA,1985-11-01,1985-11-01,0,1
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,-26.9830215,32.8701345,0,NA,1985-11-01,1985-11-01,0.2,0.8
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,-26.9830215,32.8701345,0,NA,1985-11-01,1985-11-01,0.9,0.1
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,-26.9830215,32.8701345,0,NA,1985-11-01,1985-11-01,1,0
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,-26.9830215,32.8701345,0,NA,1985-11-01,1985-11-01,1,0
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,-26.9830215,32.8701345,0,NA,1985-11-01,1985-11-01,1,0
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,-26.9830215,32.8701345,0,NA,1985-11-01,1985-11-01,1,0
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,-26.9830215,32.8701345,0,NA,1984-11-01,1984-11-01,0.282608696,0.717391304
"Testudines","Cheloniidae","Caretta","Caretta_caretta",27.7,NA,-26.9830215,32.8701345,0,NA,1984-10-01,1984-10-01,1,0
"Testudines","Cheloniidae","Caretta","Caretta_caretta",28.3,NA,-26.9830215,32.8701345,0,NA,1984-11-01,1984-11-01,1,0
"Testudines","Cheloniidae","Caretta","Caretta_caretta",28.3,NA,-26.9830215,32.8701345,0,NA,1984-11-01,1984-11-01,1,0
"Testudines","Cheloniidae","Caretta","Caretta_caretta",28.3,NA,-26.9830215,32.8701345,0,NA,1984-10-01,1984-10-01,1,0
"Testudines","Cheloniidae","Caretta","Caretta_caretta",28.4,NA,-26.9830215,32.8701345,0,NA,1984-11-01,1984-11-01,1,0
"Testudines","Cheloniidae","Caretta","Caretta_caretta",28.5,NA,-26.9830215,32.8701345,0,NA,1984-12-01,1984-12-01,1,0
"Testudines","Cheloniidae","Caretta","Caretta_caretta",28.5,NA,-26.9830215,32.8701345,0,NA,1984-11-01,1984-11-01,0.956521739,0.043478261
"Testudines","Cheloniidae","Caretta","Caretta_caretta",28.6,NA,-26.9830215,32.8701345,0,NA,1984-11-01,1984-11-01,1,0
"Testudines","Cheloniidae","Caretta","Caretta_caretta",28.7,NA,-26.9830215,32.8701345,0,NA,1984-11-01,1984-11-01,0.909090909,0.090909091
"Testudines","Cheloniidae","Caretta","Caretta_caretta",28.8,NA,-26.9830215,32.8701345,0,NA,1984-11-01,1984-11-01,0.666666667,0.333333333
"Testudines","Cheloniidae","Caretta","Caretta_caretta",29,NA,-26.9830215,32.8701345,0,NA,1984-11-01,1984-11-01,0.888888889,0.111111111
"Testudines","Cheloniidae","Caretta","Caretta_caretta",29.3,NA,-26.9830215,32.8701345,0,NA,1984-12-01,1984-12-01,0.181818182,0.818181818
"Testudines","Cheloniidae","Caretta","Caretta_caretta",29.4,NA,-26.9830215,32.8701345,0,NA,1984-12-01,1984-12-01,0.095238095,0.904761905
"Testudines","Cheloniidae","Caretta","Caretta_caretta",29.6,NA,-26.9830215,32.8701345,0,NA,1984-12-01,1984-12-01,0,1
"Testudines","Cheloniidae","Caretta","Caretta_caretta",29.7,NA,-26.9830215,32.8701345,0,NA,1984-12-01,1984-12-01,0.142857143,0.857142857
"Testudines","Cheloniidae","Caretta","Caretta_caretta",30,NA,-26.9830215,32.8701345,0,NA,1984-12-01,1984-12-01,0,1
"Testudines","Cheloniidae","Caretta","Caretta_caretta",30.2,NA,-26.9830215,32.8701345,0,NA,1985-01-01,1985-01-01,0,1
"Testudines","Cheloniidae","Caretta","Caretta_caretta",28,NA,33.881228,-77.976182,0,0.95,1984-07-01,1984-07-01,0.857142857,0.142857143
"Testudines","Cheloniidae","Caretta","Caretta_caretta",28.5,NA,33.881228,-77.976182,0,0.95,1984-07-01,1984-07-01,0.896551724,0.103448276
"Testudines","Cheloniidae","Caretta","Caretta_caretta",29,NA,33.881228,-77.976182,0,0.95,1984-07-01,1984-07-01,0.6875,0.3125
"Testudines","Cheloniidae","Caretta","Caretta_caretta",29.3,NA,33.881228,-77.976182,0,0.95,1984-07-01,1984-07-01,0.791666667,0.208333333
"Testudines","Cheloniidae","Caretta","Caretta_caretta",29.7,NA,33.881228,-77.976182,0,0.95,1984-07-01,1984-07-01,0.5,0.5
